region,price,year,manufacturer,model,condition,cylinders,fuel,odometer,title_status,transmission,drive,type,paint_color,class
12,17899,2012,35,1715,4,3,2,63500,5,2,3,2,0,1.0
12,13999,2009,30,1376,4,5,2,120057,5,3,3,7,9,2.0
12,34500,2017,10,1415,4,5,0,95484,5,3,3,7,10,2.0
12,14500,2007,11,2623,4,5,2,89340,5,3,3,7,10,2.0
12,12500,2013,10,1400,4,5,2,226031,5,3,3,7,10,1.0
12,34500,2012,30,1376,4,5,0,128153,5,3,3,7,9,1.0
12,16500,2013,11,3293,4,5,4,156385,5,3,3,8,9,1.0
12,14500,2007,34,3077,4,5,2,135287,5,3,3,7,10,2.0
12,27999,2015,11,2623,4,5,2,73612,5,3,3,7,2,2.0
12,14999,2004,30,1376,4,5,0,235790,5,3,3,7,1,2.0
12,24999,2014,30,109,4,5,0,158156,5,3,3,7,10,2.0
12,35500,2015,11,2623,4,5,0,127515,5,3,3,7,0,1.0
12,8999,2002,6,2678,4,5,2,179098,5,3,3,7,10,3.0
12,5999,2003,23,2505,4,5,2,185220,5,3,3,4,9,1.0
12,13500,2010,11,2623,4,5,2,231570,5,3,3,7,9,2.0
12,31895,2008,17,3176,4,6,2,75000,5,3,3,8,10,2.0
12,9500,2001,10,1309,3,6,0,101770,5,3,3,8,5,2.0
12,4600,2008,13,861,3,3,2,110982,5,3,1,4,5,3.0
12,32995,2014,11,2624,4,6,2,93242,5,3,3,7,5,1.0
12,26950,2015,30,233,4,5,0,68013,3,3,3,10,10,3.0
12,8300,2016,6,2810,5,5,1,28000,5,3,3,8,10,2.0
12,27476,2015,20,2480,4,5,2,41245,5,3,3,8,10,1.0
12,23500,2011,5,1270,4,6,2,80855,5,3,3,8,10,1.0
12,15475,2016,8,1722,4,5,2,58103,5,3,1,8,10,2.0
12,15475,2018,14,1197,4,3,2,11892,5,3,1,4,10,2.0
12,3995,1999,33,2207,4,3,2,215349,5,3,3,3,1,1.0
12,34900,2015,34,3077,4,6,2,42649,5,3,3,10,10,2.0
12,21475,2018,13,861,4,3,2,10683,5,3,1,4,10,3.0
12,14476,2017,10,1180,4,3,2,81130,5,3,3,8,10,2.0
14,23295,2013,20,1752,4,5,2,63842,5,3,2,4,9,2.0
12,28248,2014,10,2139,4,5,2,8543,5,2,2,8,0,2.0
12,28000,2004,10,1528,3,7,2,67348,5,3,3,10,10,2.0
12,15995,2014,30,12,4,6,2,103252,5,3,2,7,9,2.0
12,10550,2014,13,2186,4,5,2,79035,3,3,1,6,0,2.0
12,18999,2015,23,900,4,3,2,37000,5,3,1,4,10,3.0
12,18999,2013,3,143,4,5,2,65000,5,3,2,12,0,3.0
12,2500,2004,10,2139,3,5,2,129000,5,2,2,12,1,3.0
12,22995,2013,10,1376,4,6,2,63425,5,3,2,7,8,3.0
12,28895,2016,30,12,4,6,2,19086,5,3,3,10,8,3.0
12,29999,2012,23,909,4,6,2,83000,5,3,2,4,0,3.0
14,14795,2008,20,1763,4,6,2,164666,5,3,3,8,10,2.0
12,8950,2014,7,166,4,5,2,58677,3,3,2,4,5,1.0
12,16500,2006,34,2913,4,5,2,101770,5,2,2,8,8,2.0
12,14900,2010,34,264,4,5,2,78728,5,3,2,8,10,3.0
12,34876,2011,5,1041,4,6,2,48289,5,3,2,12,10,3.0
12,12495,2019,27,571,4,3,2,11092,5,3,1,4,0,1.0
12,32975,2016,17,3164,4,5,2,28282,5,2,3,8,10,3.0
12,6495,2018,10,1559,4,3,2,24469,5,3,1,4,10,3.0
12,31221,2016,23,1132,4,5,2,14222,5,3,3,4,10,3.0
12,19499,2008,17,3164,4,5,2,60004,5,2,3,8,10,3.0
12,13976,2011,34,2877,4,3,2,93157,5,2,2,10,10,3.0
12,5495,2016,26,2238,4,3,2,55149,2,3,1,8,5,1.0
12,8499,2005,35,647,4,3,2,43524,5,3,1,2,10,2.0
12,21999,2004,23,2747,4,6,2,55000,5,3,2,13,0,1.0
12,7495,2017,27,2585,4,3,2,70109,5,3,1,4,10,2.0
12,26950,2019,27,598,4,6,2,8871,5,3,3,8,0,1.0
12,6995,2010,6,3043,4,5,2,115266,5,3,3,8,0,1.0
12,7995,2014,34,957,4,3,2,69260,5,3,1,4,9,2.0
12,2250,2004,34,807,4,3,2,113248,2,3,1,2,9,2.0
12,2800,2006,0,3061,4,3,2,104421,2,3,1,4,9,2.0
